id,name_zh,name_en,category,subcategory,gi,gi_level,gl_per_serving,gl_level,serving_g,calories_per_100g,carbs_per_100g,protein_per_100g,fat_per_100g,fiber_per_100g,blood_sugar_impact,best_timing,suitable_for,caution_for,tips,recommended_combos,data_sources
food-068,洋葱,Onion,蔬菜,鳞茎,15,低,1,低,150,40,9.3,1.1,0.1,0.9,极低,午餐/晚餐,所有人群,胃病患者不宜空腹生食,碳水低 | 含槲皮素，有抗氧化作用 | 生食/炒菜均可,牛肉 | 鸡蛋,CN
food-069,南瓜,Pumpkin,蔬菜,瓜菜,64,中,5,低,150,26,6.5,1.0,0.1,0.5,中,午餐/晚餐,血糖偏高者少量食用影响可控,大量食用或南瓜汤升糖仍快,GI中等但碳水含量低（每百克仅6.5g），实际升糖有限 | 典型中GI低GL食物，控制份量即可 | 富含β-胡萝卜素和维生素A,瘦肉 | 蛋 | 绿叶蔬菜,CN+SYD
food-070,冬瓜,Winter Melon,蔬菜,瓜菜,15,低,0,低,150,12,2.6,0.4,0.2,0.7,极低,午餐/晚餐,所有人群,无明显禁忌,碳水极低，热量极低 | 利尿消肿 | 减肥控糖佳品,虾皮 | 排骨,CN
food-071,苦瓜,Bitter Melon,蔬菜,瓜菜,15,低,0,低,150,22,4.9,1.0,0.1,1.4,极低,午餐/晚餐,所有人群,孕妇慎食,传统认为有辅助控糖作用 | 碳水极低 | 凉拌/炒蛋/榨汁均可,鸡蛋 | 瘦肉,CN
food-072,蘑菇,Mushroom,蔬菜,菌菇,15,低,0,低,150,22,4.1,3.3,0.3,2.1,极低,午餐/晚餐,所有人群,注意野生蘑菇安全性,碳水极低 | 多糖类有助免疫力 | 鲜菇/干菇均可,鸡肉 | 蔬菜 | 豆腐,CN
food-073,木耳,Wood Ear Mushroom,蔬菜,菌菇,15,低,0,低,150,21,6.0,1.5,0.2,7.0,极低,午餐/晚餐,所有人群,泡发时间不宜过长,碳水低，纤维极高 | 有助控糖和降脂 | 泡发后凉拌/炒菜,鸡蛋 | 瘦肉,CN
food-074,海带,Kelp,蔬菜,海藻,15,低,0,低,150,13,2.1,1.2,0.1,1.3,极低,午餐/晚餐,一般人群适量,甲亢患者注意碘摄入,碳水极低 | 碘含量高 | 褐藻多糖有助控糖,排骨 | 豆腐,CN
food-075,芦笋,Asparagus,蔬菜,茎菜,15,低,0,低,150,20,4.9,2.2,0.1,2.1,极低,午餐/晚餐,所有人群,无明显禁忌,碳水极低 | 叶酸含量高 | 清炒/蒸制最佳,鸡蛋 | 三文鱼,CN
food-076,苹果,Apple,水果,仁果,36,低,5,低,180,53,13.7,0.2,0.2,1.2,极低,加餐,所有人群，包括糖尿病患者,无明显禁忌,带皮吃保留更多膳食纤维和抗氧化物质 | 果胶有助延缓糖分吸收 | 每天1个为宜，不要榨汁,坚果 | 无糖酸奶,CN+SYD
food-077,梨,Pear,水果,仁果,36,低,4,低,180,50,13.3,0.4,0.2,3.1,极低,加餐,所有人群,脾胃虚寒者不宜多食,GI低 | 水分高，纤维丰富 | 清热润肺,,CN+SYD
food-078,桃子,Peach,水果,核果,28,低,3,低,150,51,12.2,0.9,0.1,1.3,极低,加餐,所有人群,无明显禁忌,GI很低 | 维生素C丰富 | 夏季时令水果,,CN+SYD
food-079,李子,Plum,水果,核果,24,低,3,低,150,38,8.7,0.7,0.2,1.4,极低,加餐,一般人群适量,胃酸过多者不宜空腹,GI很低 | 酸味来自有机酸 | 促消化,,CN
food-080,樱桃,Cherry,水果,核果,22,低,3,低,150,63,16.0,1.1,0.2,2.1,极低,加餐,所有人群，糖尿病友好,无明显禁忌,GI极低，是糖尿病患者的理想水果 | 含花青素，有助抗氧化和抗炎 | 天然褪黑素来源，晚间少量食用或助睡眠,坚果 | 无糖酸奶 | 黑巧克力（>70%）,CN+SYD
food-081,草莓,Strawberry,水果,浆果,40,低,4,低,150,32,7.1,0.7,0.3,2.0,极低,加餐,所有人群,无明显禁忌,GI低 | 维生素C含量高于橙子 | 升糖指数低,无糖酸奶,CN+SYD
food-082,蓝莓,Blueberry,水果,浆果,53,低,6,低,150,57,14.5,0.7,0.3,2.4,极低,加餐,所有人群，糖尿病友好,无明显禁忌,GI低 | 花青素含量极高 | 抗氧化能力强的超级食物,无糖酸奶 | 燕麦 | 坚果,CN+SYD
food-083,葡萄,Grape,水果,浆果,43,低,5,低,150,44,10.3,0.5,0.2,0.4,极低,加餐,一般人群适量,糖尿病者控制份量（10-15粒）,GI低-中 | 葡萄糖含量较高但总量有限 | 不要代替正餐大量食用,,CN+SYD
food-084,香蕉,Banana,水果,热带水果,52,低,11,中,120,93,22.0,1.4,0.2,1.2,极低,加餐/运动前后,血糖正常者及控制良好者可适量,血糖控制不佳时选青香蕉或减量,青香蕉含更多抗性淀粉，GI更低（约30） | 熟透的香蕉（皮有黑点）GI升至约62 | 含钾丰富，适合运动后补充,坚果 | 无糖酸奶,CN+SYD
food-085,橙子,Orange,水果,柑橘,43,低,4,低,180,48,11.1,0.8,0.2,0.6,极低,加餐,所有人群,不要代替水果喝橙汁,GI低 | 维生素C丰富 | 不要榨汁（果汁GI升高）,,CN+SYD
food-086,柚子,Pomelo/Grapefruit,水果,柑橘,25,低,3,低,200,42,9.5,0.8,0.2,1.0,极低,加餐,所有人群，糖尿病友好,服用降压药/降脂药者注意相互作用,GI极低 | 维生素C丰富 | 有助消化,,CN+SYD
food-087,猕猴桃,Kiwi,水果,浆果,50,低,5,低,100,61,14.5,0.8,0.5,3.0,极低,加餐,所有人群,对猕猴桃过敏者避免,GI低 | 维生素C含量极高 | 纤维丰富,,CN+SYD
food-088,芒果,Mango,水果,热带水果,55,低,8,低,150,60,15.0,0.8,0.4,1.6,极低,加餐,一般人群适量,糖尿病者注意份量,GI处于低GI上限 | β-胡萝卜素丰富 | 含糖量较高,,CN+SYD
food-089,菠萝,Pineapple,水果,热带水果,66,中,7,低,150,41,10.8,0.5,0.1,1.4,中,加餐,一般人群适量,糖尿病者少量,GI中等 | 含菠萝蛋白酶，助消化 | 控制份量,,CN+SYD
food-090,西瓜,Watermelon,水果,瓜果,76,高,5,低,200,31,7.6,0.6,0.2,0.4,极高,加餐,小份食用对血糖偏高者影响可控,大口大量吃升糖仍快,典型高GI低GL食物：每份碳水少，单次升糖有限 | 关键是控制份量，小份食用影响不大 | 不要榨汁，榨汁后升糖速度大幅上升,无糖酸奶 | 薄荷,CN+SYD
food-091,哈密瓜,Cantaloupe,水果,瓜果,65,中,5,低,150,34,8.0,0.8,0.2,0.9,中,加餐,一般人群适量,糖尿病者少量,GI中等 | β-胡萝卜素丰富 | 控制份量,,CN
food-092,木瓜,Papaya,水果,热带水果,60,中,6,低,150,43,10.8,0.5,0.3,1.7,中,加餐,一般人群适量,糖尿病者少量,GI中等 | 木瓜蛋白酶助消化 | 控制份量,,CN
food-093,牛油果,Avocado,水果,热带水果,15,低,1,低,100,160,8.5,2.0,14.7,6.7,极低,早餐/加餐,所有人群，糖尿病患者的理想水果,热量较高，减重时注意份量,几乎不含糖，富含单不饱和脂肪酸 | 高纤维延缓胃排空，减缓碳水吸收 | 代替黄油/蛋黄酱抹面包，既降升糖又美味,全麦面包 | 鸡蛋 | 番茄 | 三文鱼,CN+SYD
food-094,石榴,Pomegranate,水果,浆果,35,低,5,低,150,72,18.7,1.4,0.2,3.0,极低,加餐,一般人群适量,糖尿病者注意份量,GI低 | 花青素和鞣花酸丰富 | 抗氧化能力强,,CN
food-095,鲜枣,Fresh Jujube,水果,核果,42,低,10,低,100,122,30.5,1.1,0.3,1.9,极低,加餐,一般人群适量,糖尿病者严格控制份量,维生素C含量极高 | 碳水含量较高 | 控制份量,,CN
